DEBUG 2024-06-21 16:44:21,419 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/checks/database.py first seen with mtime 1718910845.146809
DEBUG 2024-06-21 16:44:21,419 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/forms/formsets.py first seen with mtime 1718910845.2252042
DEBUG 2024-06-21 16:44:21,419 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/middleware/security.py first seen with mtime 1718910845.260915
DEBUG 2024-06-21 16:44:21,419 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/collections/abc.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,419 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/mimetypes.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,419 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/futures.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,419 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/utils/regex_helper.py first seen with mtime 1718910845.288428
DEBUG 2024-06-21 16:44:21,419 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/importlib/resources/_common.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,420 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/migrations/operations/special.py first seen with mtime 1718910845.203882
DEBUG 2024-06-21 16:44:21,420 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/models/constraints.py first seen with mtime 1718910845.2059848
DEBUG 2024-06-21 16:44:21,420 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/migrations/__init__.py first seen with mtime 1718910845.1969311
DEBUG 2024-06-21 16:44:21,420 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/postgres/lookups.py first seen with mtime 1718910844.8045232
DEBUG 2024-06-21 16:44:21,420 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/apps/__init__.py first seen with mtime 1718910843.739519
